Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_++Cas_ML_I.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_1.raw	I:\Fadime\250307\250308_++Cas_ML_II.raw	I:\Fadime\250307\250308_++Cas_ML_III.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_II.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_2.raw	I:\Fadime\250307\250308_-N+C_ML_I.raw	I:\Fadime\250307\250308_-N+C_ML_III.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_III.raw	I:\Fadime\250307\250308_-N+C_ML_II.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_I.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_3.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_I.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_II.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_III.raw
SPO1712	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)				744364		4.18338e+06			380925	134747	558428							
SPO1713	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)						149344	115374			177705			157566					
SPO1714	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)				962936	135872	301856	168621		136281	99000.1	111194		242638		100207			371251
SPO1715	Urease accessory protein UreE				64585.9	29406.1	45668.4			21692.3						41343.7			
SPO1716	Urease accessory protein UreF																		
SPO1717	Urease accessory protein UreG				474043	405180	422449	345825		430039	352070	373178	8.89364e+07	345399		418833			
SPO1719	TRAP transporter large permease protein					62303.4		20196.3		37642.8	44506.3	41702.7		60766.6		46218.8			
SPO1720	TRAP transporter small permease protein					61930.4		52048.2		33144.6	90091.2	58621.7		94133.6		44548.4			
SPO1721	"TRAP dicarboxylate transporter, DctP subunit, putative"				3.64284e+06	3.46785e+06	3.5228e+06	3.59955e+06	1.17856e+07	3.4912e+06	4.81837e+06	4.50169e+06	1.10048e+07	4.64198e+06	1.30437e+07	3.43879e+06	5.28591e+07	6.60811e+07	5.86735e+07
SPO1722	"Transcriptional regulator, GntR family"				567366	736961	613234	611428		629125	684268	604994		646080		613652			
SPO1723	Mannonate dehydratase (EC 4.2.1.8) (D-mannonate hydro-lyase)				212099	368486	246296	273475		288999	242776	243503		247374		292456	1.16582e+06	1.37334e+06	1.11085e+06
SPO1724	D-mannonate oxidoreductase (EC 1.1.1.57)				499563	494073	401103	456804		425901	511836	510833		453953		489069			
SPO1725	Methyltransferase FkbM domain-containing protein				4.66883e+06	4.90063e+06	5.47374e+06	5.38379e+06	4.08052e+06	4.80683e+06	4.45523e+06	4.18243e+06		4.26186e+06	5.83324e+06	4.75877e+06			73205.5
SPO1727	NDP-polyphosphate phosphotransferase 3 (EC 2.7.4.-) (Polyphosphate kinase PPK2 3) (RpPPK2-3)				6.02753e+06	4.93529e+06	5.58246e+06	5.48948e+06	1.72564e+06	4.85614e+06	5.00131e+06	5.11686e+06	1.12917e+06	5.09901e+06	2.687e+06	4.93898e+06			
SPO1728	"Esterase, putative"				1.00936e+06	1.11122e+06	1.13729e+06	1.02808e+06		1.03217e+06	1.17644e+06	1.24115e+06		1.15734e+06		1.10603e+06			218387
SPO1729	Homoserine O-acetyltransferase (HAT) (EC 2.3.1.31) (Homoserine transacetylase) (HTA)				1.04625e+07	6.43027e+06	8.3015e+06	8.50783e+06	7.30121e+06	6.97577e+06	7.05061e+06	7.35344e+06	6.94348e+06	7.22285e+06	5.4308e+06	6.79461e+06			
SPO1732	Single-stranded-DNA-specific exonuclease RecJ				1.54598e+06	1.78379e+06	1.47542e+06	1.51844e+06	745311	1.77948e+06	1.81602e+06	1.84434e+06	586739	1.81078e+06		1.77775e+06			
SPO1733	"Fructose-1,6-bisphosphatase"				1.53634e+07	2.1206e+07	1.76521e+07	1.84187e+07	2.1447e+07	2.10282e+07	1.99416e+07	1.97169e+07	2.36037e+07	1.9153e+07	1.83454e+07	2.17215e+07	1.38084e+08	7.82523e+07	1.27509e+08
SPO1734	homoserine dehydrogenase (EC 1.1.1.3)				1.19693e+07	1.19655e+07	1.18239e+07	1.2361e+07	1.08328e+07	1.21462e+07	1.35925e+07	1.41599e+07	9.01217e+06	1.40434e+07	1.04719e+07	1.2144e+07	113670	137545	218921
SPO1735	Lipoprotein				143848	331470	151507	119068		219066	114911	113854		146762		232707	200873	203636	117536
SPO1736	"Transcriptional regulator, TetR family"				774809	1.07083e+06	861467	820814	1.39317e+06	987220	2.96439e+06	3.03461e+06		3.05808e+06	1.38416e+06	1.03348e+06			
SPO1737	Pirin domain protein				2.05112e+06	1.77395e+06	2.03047e+06	1.96759e+06		1.82562e+06	1.60603e+06	1.54757e+06		1.52138e+06		1.85391e+06			1.00763e+07
SPO1738	"Dehalogenase, putative"				200864	728875	145015	206748		805606	778870	792853		741355		728651			
SPO1739	Uncharacterized protein				1.28423e+07	1.16627e+07	1.23774e+07	1.17086e+07		1.24826e+07	4.03395e+06	3.97731e+06		3.78647e+06		1.21924e+07	56086.2	122479	
SPO1740	Pilus assembly protein				133850	68586.5	148868	133068		64257.1	124461	112247		109006		63989.3			
SPO1741	TadE-like domain-containing protein				75184.9	70497.2	111184	104696		49386.6	72783.1	86534.9		65073.6		54419	16897.5	51751.9	
SPO1742	Putative Flp pilus-assembly TadG-like N-terminal domain-containing protein				1.09985e+06	668028	1.44896e+06	1.5152e+06	1.12406e+07	601540	805830	748406	1.04007e+07	802445	1.0539e+07	688701	138256		108819
SPO1743	Glutamate dehydrogenase				3.38209e+07	2.17255e+07	3.43158e+07	3.27761e+07	1.26603e+07	2.20564e+07	2.32728e+07	2.38761e+07	1.30473e+07	2.2875e+07	1.58727e+07	2.51901e+07	1.4719e+08	1.35495e+08	1.56013e+08
SPO1744	"Sarcosine oxidase subunit beta (EC 1.5.3.24) (Sarcosine oxidase (5,10-methylenetetrahydrofolate-forming) subunit beta) (Tetrameric sarcosine oxidase subunit beta)"				4.74148e+06	2.93316e+06	3.95563e+06	3.96348e+06		3.12917e+06	2.78067e+06	2.82638e+06		2.77024e+06	1.07985e+07	2.86079e+06			
SPO1745	"Sarcosine oxidase, delta subunit family"				488290	380419	448160	483524		385204	387314	388179		353400		390158			
SPO1746	"Sarcosine oxidase, alpha subunit family"				2.03358e+06	1.70005e+06	2.09547e+06	2.12911e+06		1.6181e+06	1.56905e+06	1.59036e+06		1.57305e+06		1.66344e+06		871319	815362
SPO1747	"Sarcosine oxidase, gamma subunit family"				1.89737e+06	1.28311e+06	2.17267e+06	2.08502e+06		1.27427e+06	1.26302e+06	1.27386e+06		1.20714e+06		1.42104e+06			
SPO1748	Uncharacterized protein				612394	460264	1.0223e+06	1.01737e+06	1.92923e+07	407960	449351	417171	1.3366e+07	526991	1.90145e+07	438854	524428	308977	952741
SPO1749	DNA primase (EC 2.7.7.101)				1.7021e+06	2.15928e+06	1.69321e+06	1.75304e+06		2.08035e+06	2.13661e+06	2.18829e+06	4.53774e+06	2.20642e+06		2.2179e+06	5.93525e+06	513525	1.22555e+07
SPO1750	RNA polymerase sigma factor RpoD (Sigma-70)				9.30649e+06	1.12566e+07	1.07288e+07	1.01587e+07	1.11661e+07	1.14586e+07	1.14647e+07	1.1555e+07	1.0924e+07	1.05782e+07	1.13625e+07	1.20998e+07	616891	535001	988397
SPO1751	Uncharacterized protein				6.08018e+06	3.76814e+06	3.96215e+06	3.72882e+06		4.22718e+06	3.42234e+06	3.40886e+06	3.08044e+06	3.48305e+06		3.89708e+06	755167	733856	716769
SPO1752	Secondary thiamine-phosphate synthase enzyme				592622	592151	584732	531010		557196	459916	467080		469695		453263		31114.3	
SPO1753	Transcriptional repressor NrdR				9.55234e+06	6.91228e+06	9.68756e+06	9.30552e+06		6.73206e+06	6.12983e+06	6.00555e+06		6.10201e+06		6.93939e+06	56881.4	62217	
SPO1754	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]				3.33683e+06	2.0698e+06	3.15467e+06	3.12826e+06		2.07127e+06	1.88306e+06	1.77844e+06		1.84255e+06		1.99644e+06			
SPO1755	Capsular polysaccharide export protein KpsC				923462	1.48775e+06	800645	793585		1.47308e+06	1.24637e+06	1.26904e+06		1.21494e+06		1.39208e+06			
SPO1756	Polysaccharide biosynthesis/export protein				1.20726e+07	2.09365e+07	1.32386e+07	1.3271e+07	3.50317e+06	2.19699e+07	1.68625e+07	1.70097e+07	5.88361e+06	1.73188e+07	1.28352e+07	2.16181e+07	1.58714e+07	1.69885e+07	1.37215e+07
SPO1757	Capsular polysaccharide export protein KpsS				581348	803500	703358	644066		716966	781589	797907		819854		739080			
SPO1759	riboflavin synthase (EC 2.5.1.9)				2.76882e+06	3.2992e+06	3.28659e+06	3.20533e+06	2.00595e+06	3.71417e+06	3.27e+06	2.96896e+06		2.79706e+06		3.61443e+06	6.9094e+06		
SPO1760	Uncharacterized protein				31004.9	55385.4		31750.9		39945.6	34547.7	45275.9				54827			
SPO1761	"3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)"				9.56162e+06	7.75899e+06	9.83766e+06	9.80229e+06	8.092e+06	7.90836e+06	8.69333e+06	8.5774e+06	7.61981e+06	8.79678e+06	8.18156e+06	7.94438e+06		55916.5	164402
SPO1762	"6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)"				4.80399e+06	3.97053e+06	5.23115e+06	5.39403e+06	3.65272e+06	3.94239e+06	5.07276e+06	4.90716e+06	4.38717e+06	4.91411e+06	3.31247e+06	3.69302e+06	1.42326e+06	1.61826e+06	1.40468e+06
SPO1763	Transcription antitermination protein NusB (Antitermination factor NusB)				4.25836e+06	4.62529e+06	5.29311e+06	5.36677e+06	5.15686e+06	4.84493e+06	5.20666e+06	5.01892e+06	5.56408e+06	5.55032e+06	5.30896e+06	5.08447e+06	395730	479687	480106
SPO1764	"Transcriptional regulator, LuxR family"				1.26016e+06	1.14626e+06	1.12169e+06	1.11544e+06		1.14368e+06	1.20982e+06	1.15552e+06		1.15345e+06		1.15869e+06			
SPO1766	DNA repair protein MmcB-related protein				153711	251396	201680	196458		217655	195577	179861		172837		241604			
SPO1767	"Acetyltransferase, GNAT family"				3.14366e+06	2.57154e+06	3.52715e+06	3.36139e+06		2.58745e+06	2.26419e+06	2.26729e+06		2.29402e+06		2.41382e+06			
SPO1769	Uncharacterized protein				2.37346e+06	3.0012e+06	2.9083e+06	2.81298e+06		2.83034e+06	2.91793e+06	2.78742e+06		2.88015e+06		2.84904e+06			
SPO1770	Lipoprotein				1.48123e+06	4.93915e+06	1.94391e+06	1.85538e+06	7.52944e+06	5.58628e+06	7.0915e+06	7.33713e+06	7.61469e+06	7.78998e+06	7.61202e+06	5.80965e+06	1.92155e+06		221533
SPO1771	TRAP transporter large permease protein				283556	335816	399525	424419		358220	847978	907006		858427		418401			
SPO1772	TRAP transporter small permease protein				1.18185e+06	1.50229e+06	1.22525e+06	1.01588e+06		1.49198e+06	1.02036e+06	1.05074e+06		1.03431e+06		1.53983e+06			
SPO1773	Solute-binding protein SPO1773				6.22985e+06	4.19531e+06	7.17963e+06	7.17706e+06	4.22639e+07	4.57369e+06	1.01751e+07	1.00983e+07	4.77984e+07	1.02325e+07	4.55404e+07	4.20753e+06	9.91616e+07	8.83647e+07	9.43773e+07
SPO1774	"3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD)"				492612	361299	583554	454998		317939	1.93847e+06	1.94754e+06		2.04069e+06		360806			
SPO1775	ChrR-like cupin domain-containing protein				2.138e+06	2.01212e+06	2.44362e+06	2.30942e+06		2.07288e+06	1.59513e+06	1.44931e+06		1.44849e+06		1.96862e+06	3.28572e+06	3.53383e+06	3.14717e+06
SPO1776	Pyridine nucleotide-disulfide oxidoreductase family protein				1.71897e+06	2.1135e+06	1.77854e+06	1.82893e+06	958692	2.22003e+06	1.90751e+06	1.84174e+06		1.91471e+06		2.32687e+06	406175		3.51537e+07
SPO1777	Dihydrothymine dehydrogenase (Dihydrouracil dehydrogenase)				1.27785e+06	1.44144e+06	1.0994e+06	1.16597e+06		1.43752e+06	1.38487e+06	1.27688e+06		1.33584e+06		1.52452e+06			1.22436e+06
SPO1778	N-(5'-phosphoribosyl)anthranilate isomerase				64773.5		48419.1	47373.6			45538.9								
SPO1779	"Membrane protein, major facilitator transporter family"				476519	391735	657571	684748		349371	493500	491660		521171		373251			
SPO1780	"Transcriptional regulator, TetR family"				1.55948e+06	1.58855e+06	1.12965e+06	1.36095e+06		1.62297e+06	1.63972e+06	1.52775e+06		1.68418e+06		1.64758e+06			109836
SPO1781	"Amidase, hydantoinase/carbamoylase family"				3.00257e+06	2.94633e+06	3.12651e+06	3.22647e+06		2.98134e+06	2.88739e+06	2.81885e+06	5.25714e+06	3.01703e+06	7.79387e+06	2.96867e+06	2.71446e+07	2.34499e+07	2.96213e+07
SPO1782	Uncharacterized protein				399153	230721	442370	396489		301874	343573	330234		358999		328302			
SPO1783	D-hydantoinase (EC 3.5.2.2)				2.84707e+06	2.64225e+06	2.66531e+06	2.75512e+06	3.49581e+06	2.44273e+06	3.0418e+06	2.89901e+06	4.7303e+06	3.08912e+06	7.03144e+06	2.56076e+06	1.71086e+07	1.81315e+07	1.96523e+07
SPO1784	Cupin type-2 domain-containing protein				1.96408e+06	1.86617e+06	1.91274e+06	1.99921e+06		1.93819e+06	1.5443e+06	1.43324e+06		1.53603e+06		1.81772e+06			
SPO1785	"ABC transporter, ATP-binding protein"				1.01002e+06	845252	994658	1.036e+06		852294	911344	881916		875125		883197		3.7931e+06	
SPO1786	"ABC transporter, permease protein"				1.02559e+06	657347	873689	849678		649146	819237	837474		834252	1.84314e+07	665525			
SPO1787	"ABC transporter, permease protein"				231775	438319	302994	287526		302554	409700	403906		477009		310223			
SPO1788	Thiamine pyrimidine synthase				9.23857e+06	1.00123e+07	1.13939e+07	1.13946e+07	4.52899e+07	9.95111e+06	1.12981e+07	1.09897e+07	4.23039e+07	1.18027e+07	4.55002e+07	1.0293e+07	1.60834e+08	1.51184e+08	1.75856e+08
SPO1789	"Sulfate/tungstate uptake family ABC transporter, permease protein"				129937	414922	289627	195880		392528	367493	366561		385536		333996			
SPO1790	"Sulfate/tungstate uptake family ABC transporter, ATP-binding protein"				1.23991e+06	1.661e+06	1.07507e+06	955350		1.61757e+06	1.73937e+06	1.68199e+06		1.6838e+06		1.62349e+06			
SPO1791	"Sulfate/tungstate uptake family ABC transporter, periplasmic substrate-binding protein"				7.75496e+06	1.54803e+07	1.6886e+07	1.40187e+07	4.86026e+07	1.45402e+07	1.48432e+07	1.45123e+07	5.50395e+07	1.44555e+07	8.14059e+07	1.63175e+07	4.65939e+08	6.09222e+08	5.57691e+08
SPO1792	"DNA-binding protein, excisionase family"				2.0907e+06	1.5288e+06	1.7872e+06	1.79277e+06		1.56459e+06	1.48978e+06	1.46992e+06		1.43782e+06		1.57484e+06			
SPO1794	"Formate dehydrogenase, gamma subunit (EC 1.2.1.2)"				217287	615542	259273	242132		614125	177071	191387		181136		599599			
SPO1795	"Formate dehydrogenase, iron-sulfur subunit, putative"				674780	3.00288e+06	783414	701947		2.70343e+06	732793	670705		699145		3.21793e+06		364858	
SPO1796	"Formate dehydrogenase, alpha subunit, putative"				603795	3.46487e+06	655088	680920		3.34678e+06	790670	782226		804115		3.52474e+06		427472	6.03405e+06
SPO1797	Twin-arginine translocation pathway signal sequence domain protein					18888.9					148694			34123.8		22670.2			
SPO1798	"Chaperone, TorD family"				211695	842138	293086	289394		857834	225014	255753		264685		838714			
SPO1799	DUF3306 domain-containing protein				205636	168854	198837			170093	96803.1	93724.7		96282.5		170213			
SPO1800	Iron-sulfur cluster-binding protein				1.77216e+06	2.01038e+06	1.73865e+06	1.77029e+06		2.00914e+06	888427	845852		860728		2.05868e+06		595714	1.01981e+06
SPO1801	Cytochrome c domain-containing protein				519622	571056	359405	430956		592892	454060	452899	1.77532e+06	498512		566183	213711	93504.9	210386
SPO1802	Uncharacterized protein				1.07524e+07	8.74834e+06	1.16894e+07	1.03324e+07	1.67352e+07	7.01133e+06	6.18583e+06	6.22e+06	1.20581e+07	5.84371e+06	1.39078e+07	6.97827e+06	2.57486e+07	2.20502e+07	2.13425e+07
SPO1803	Iron-sulfur cluster carrier protein				1.80676e+07	1.34662e+07	1.35637e+07	1.41201e+07	8.01219e+06	1.45797e+07	1.25598e+07	1.2464e+07	6.84904e+06	1.26882e+07	8.65991e+06	1.4167e+07	268635	208973	203296
SPO1804	BPL/LPL catalytic domain-containing protein				2.54626e+06	3.12403e+06	3.27171e+06	3.31331e+06		3.10312e+06	2.73097e+06	2.58774e+06		2.6086e+06		3.20401e+06			78548.8
SPO1805	Uncharacterized protein				1.96028e+06	2.79713e+06	2.42914e+06	2.49385e+06	1.94743e+06	2.56716e+06	2.50915e+06	2.53098e+06		2.53976e+06	3.38182e+06	2.50822e+06			
SPO1806	Flavin reductase domain protein				1.70057e+06	2.01815e+06	1.82243e+06	1.71052e+06	2.60272e+06	1.86689e+06	2.03831e+06	1.92888e+06		1.90561e+06		1.74498e+06			
SPO1807	"Exonuclease, DNA polymerase III, epsilon subunit family"				256152	536211	261043	297946		508653	268507	196221		239924		443156		1.21968e+07	
SPO1808	Uncharacterized protein				190235	695169	271253	312385		534012	328356	311499		310266		542330			
SPO1809	Nucleotidyltransferase/CBS/cyclic nucleotide-binding domain protein				768286	1.80996e+06	827545	776450		1.73028e+06	829883	874249		858271		1.6888e+06			
SPO1810	Sodium/solute symporter family protein				328470	1.02662e+06	483771	487812		928315	444343	393322	5.49033e+06	384102		979365			
SPO1811	Sodium symporter small subunit domain-containing protein					37934.1	32448.1			59499.7	17203.6	21381.9		27002		63823			
SPO1812	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)				1.52214e+06	4.55442e+06	2.08545e+06	2.19121e+06		4.51148e+06	2.57877e+06	2.55371e+06		2.56098e+06		4.80184e+06	101517	132338	177585
SPO1813	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)				6.74732e+06	1.00756e+07	6.93505e+06	7.24516e+06	5.21226e+06	1.03438e+07	7.10617e+06	6.86358e+06	6.24206e+06	6.74619e+06	3.02673e+06	1.08965e+07	150734	2.2835e+08	
SPO1814	"TRAP dicarboxylate transporter, DctP subunit, putative"				7.73542e+06	7.16591e+06	8.72289e+06	8.4496e+06	2.53169e+07	6.80898e+06	6.08627e+06	5.85022e+06	2.83431e+07	6.38964e+06	2.68622e+07	7.59739e+06	2.26445e+08	2.21092e+08	2.55663e+08
SPO1815	TRAP transporter small permease protein				764504	712952	1.02227e+06	992970		670203	645091	648941		665783		698934	2.14066e+06		
SPO1816	"TRAP dicarboxylate transporter, DctM subunit, putative"				199146	190987	254776	274983		180813	184486	185007		147624		200838			
SPO1818	Probable membrane transporter protein				173082	138918	227729	250432		118001	115832					105595			
SPO1820	"Sugar ABC transporter, periplasmic sugar-binding protein"				166389	79429.6	215938	233252		78574.7	162689	176447		144320		86123.2	908754	1.31341e+06	1.60809e+06
SPO1825	Glutamine synthetase family protein				876951	971636	1.06068e+06	1.063e+06	6.88102e+06	922130	1.80033e+06	1.77012e+06		1.70268e+06		947470			1.45001e+06
SPO1826	"Transcriptional regulator, RpiR family"				493295	585364	480581	448058		528650	959214	971574		987262		545984		1.27031e+06	6.37047e+06
SPO1827	N-formylglutamate amidohydrolase				335226	249085	307076	305212		237302	349812	389856		364595		227586			
SPO1828	Isochorismatase family protein				976885	805622	1.27527e+06	1.10671e+06		766676	1.27135e+06	1.27791e+06		1.28173e+06		782242			
SPO1829	"Branched-chain amino acid ABC transporter, ATP-binding protein"				476867	478166	514640	430543	2.74054e+07	489208	1.13422e+06	1.15e+06	3.11532e+07	1.14981e+06	3.72339e+07	476251			
SPO1830	"Branched-chain amino acid ABC transporter, periplasmic branched-chain amino acid binding protein"				1.6809e+06	1.13047e+06	2.04083e+06	2.02475e+06	5.44579e+06	1.13238e+06	2.54837e+06	2.30002e+06	5.45512e+06	2.57972e+06	7.10249e+06	1.16665e+06	2.25846e+07	1.61168e+07	2.37777e+07
SPO1831	"Branched-chain amino acid ABC transporter, ATP-binding protein"				617600	624763	580771	578119		628713	995215	1.02115e+06		1.01334e+06		629643			
SPO1832	"Branched-chain amino acid ABC transporter, permease protein"					104869	64502.1	140532		118580	132333	143875		126126		114327			
SPO1833	"Branched-chain amino acid ABC transporter, permease protein"					82424.6				69066.2	79311.3	94804.1		88837.9		53295.8			
SPO1834	Acetamidase/formamidase family protein				2.31459e+06	1.46168e+06	2.88153e+06	2.83385e+06	4.41418e+06	1.38638e+06	3.07671e+06	3.00656e+06		3.02342e+06		1.41962e+06	2.05871e+06	2.96303e+06	2.54714e+06
SPO1835	"Sugar ABC transporter, ATP-binding protein"				2.12994e+06	2.74995e+06	2.27718e+06	2.26707e+06		2.82436e+06	3.5973e+06	3.45829e+06		3.62205e+06		2.81645e+06		8.06787e+07	
SPO1836	"Oxidoreductase, Gfo/Idh/MocA family"				591773	532438	508533	562315		582282	792181	751669		798379		630900			
SPO1837	"Sugar ABC transporter, permease protein"					29572				42484.8	30492	31487.3				45112.3			
SPO1838	"Sugar ABC transporter, permease protein"				75853.8	161102	96954.6	104337		129952	245331	234482		235740		151923			
SPO1839	"Sugar ABC transporter, periplasmic sugar-binding protein"				2.35256e+06	2.93395e+06	3.26295e+06	3.2579e+06	1.60294e+07	3.15715e+06	5.10016e+06	4.77519e+06	1.2947e+07	5.06885e+06	1.15898e+07	3.50746e+06	2.69762e+07	2.57124e+07	3.27891e+07
SPO1840	Glucokinase regulator-related protein				366844	381779	286403	305090		389470	506799	483316		464561		332671			
SPO1841	BadF/BadG/BcrA/BcrD ATPase family protein				282354	536004	262793	279538		484081	524929	536640		514656		489002			
SPO1842	"Transcriptional regulator, GntR family"				429372	615286	441618	441278		625486	605015	588142		627794		620028			
SPO1843	SIS domain protein				478617	978858	588208	554235		1.01863e+06	1.49389e+06	1.42505e+06		1.53994e+06		1.05011e+06			
SPO1844	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)				530763	738816	493725	514788		715110	772114	747674		767823	1.98254e+07	712812	462063	481984	493460
SPO1845	"Oxidoreductase, molybdopterin-binding protein"				1.48747e+06	1.19702e+06	1.18838e+06	1.30463e+06		1.13098e+06	1.32228e+06	1.3133e+06		1.28851e+06		1.14383e+06	1.3553e+06	1.09368e+06	3.63777e+06
SPO1846	"Branched-chain amino acid ABC transporter, periplasmic substrate-binding protein"				2.65652e+06	2.88246e+06	2.60513e+06	2.59384e+06	6.96537e+06	2.9949e+06	3.21089e+06	3.44236e+06	8.36869e+06	3.26602e+06	1.18381e+07	3.18555e+06	2.50005e+07	2.79743e+07	2.34181e+07
SPO1847	AMP-binding enzyme				672577	818302	743701	731449		736660	1.31913e+06	1.25352e+06		1.22542e+06		695366		589658	
SPO1848	"Branched-chain amino acid ABC transporter, ATP-binding protein"				189514	202188	239024	200950		186785	334060	348610		312020		195446			
SPO1849	"Branched-chain amino acid ABC transporter, ATP-binding protein"				339751	409593	425110	423685		351916	623869	604374		602351		401616			
SPO1850	"Branched-chain amino acid ABC transporter, permease protein"				48804.3	86887	47411.6	47498.3		69602.3	112290	107209		96676		160756			
SPO1852	"Oxidoreductase, zinc-binding dehydrogenase family"				1.85404e+07	1.06053e+07	1.83889e+07	1.9196e+07	2.19013e+07	1.07088e+07	2.0144e+07	2.00446e+07	1.64728e+07	2.10077e+07	2.0864e+07	1.05599e+07	104689		211355
SPO1853	"Transcriptional regulator, TetR family"				748644	1.02328e+06	978989	889140		941608	1.79219e+06	2.02351e+06		1.95358e+06		972958			
SPO1854	Uncharacterized protein				544012	253778	636339	498520		314773	404606	354908		409661		354722			
SPO1855	Mucin-associated surface protein				1.37307e+07	1.92018e+07	1.61492e+07	1.5284e+07	3.8917e+06	1.64805e+07	1.25808e+07	1.03303e+07	3.2065e+06	8.75176e+06		2.12983e+07	642228	386792	1.17571e+06
SPO1856	"Ribonuclease BN, putative"				500200	950620	806349	730812		907613	728251	705476		695718		992663			
SPO1857	Uncharacterized protein				83431.3		60941.4	58571.9		69645	38455.9	26594.2							
SPO1858	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)				3.01181e+06	3.04434e+06	2.92684e+06	3.09713e+06	2.93541e+06	2.96841e+06	3.10665e+06	3.06006e+06	1.57689e+06	3.05088e+06	2.31862e+06	2.91891e+06			
SPO1859	"Phosphatase, Ppx/GppA family"				773273	907717	745042	767756		916897	1.16413e+06	1.1144e+06		1.13678e+06		935543	1.65582e+06		
SPO1860	Twin-arginine translocation pathway signal sequence domain protein				9.73839e+06	6.34573e+06	9.87133e+06	9.54726e+06	9.4135e+06	6.4341e+06	5.79124e+06	5.70864e+06	5.21235e+06	5.8104e+06	7.53812e+06	6.41248e+06	9.76141e+07	8.18633e+07	9.97444e+07
SPO1861	Virulence factor domain-containing protein				5.40642e+07	4.76319e+06	4.21146e+07	4.51341e+07	2.05659e+06	4.72275e+06	2.24601e+06	2.36882e+06	1.7722e+06	2.12643e+06	2.28937e+06	4.77633e+06	6.7703e+06	1.10364e+07	9.49234e+06
SPO1862	MetFprotein-like protein				6.78431e+06	670484	6.2413e+06	6.02946e+06		621622	422991	394482		406959		636920	1.61462e+07	2.54397e+07	
SPO1863	Pterin-binding enzyme domain protein				7.73268e+07	1.01169e+07	6.87084e+07	7.31096e+07	4.33732e+06	1.04596e+07	6.01028e+06	5.67338e+06	3.85981e+06	6.13617e+06	4.34594e+06	1.04744e+07	394610	562205	533851
SPO1865	transketolase (EC 2.2.1.1)				3.01196e+07	3.05618e+07	2.92623e+07	2.75337e+07	2.60133e+07	2.96478e+07	3.35765e+07	3.43671e+07	2.3282e+07	3.49581e+07	2.54016e+07	3.03916e+07	751068	897759	773945
SPO1866	WHEP-TRS domain-containing protein				5.92525e+06	6.39111e+06	8.9087e+06	9.74542e+06		6.56849e+06	6.74088e+06	5.7349e+06	4.1987e+06	6.2242e+06	5.61347e+06	7.22598e+06	375944	337754	868270
SPO1867	Cell division protein ZapA				1.56303e+06	3.14495e+06	2.96722e+06	3.03686e+06		3.08739e+06	2.59433e+06	2.35065e+06		2.44438e+06		3.14414e+06			
SPO1868	Glutaredoxin				1.22265e+07	1.61752e+07	1.51458e+07	1.38977e+07	1.36071e+07	1.81483e+07	1.40983e+07	1.37074e+07	1.289e+07	1.33867e+07	5.94414e+06	1.75821e+07	183917	977224	331730
SPO1869	BolA family protein				7.19073e+06	8.86321e+06	7.95196e+06	7.66772e+06	1.06816e+07	8.16505e+06	6.05526e+06	6.66698e+06	1.35147e+07	6.46895e+06	1.06725e+07	7.82231e+06	249560	106806	646451
